agent,price,address,beds,baths,receptions
Warners,"£215,000","28 Gogarloch Haugh, South Gyle, Edinburgh EH12",2 beds,1 bath,1 reception
Stuart and Stuart WS,"£225,000","Harrison Road, Edinburgh EH11",1 bed,1 bath,1 reception
Stuart and Stuart WS,"£200,000","Royal Court, Penicuik EH26",3 beds,1 bath,2 receptions
Neilsons Solicitors & Estate Agents,"£290,000","St Hildas, 81/2 Kirk Brae, Edinburgh EH16",2 beds,1 bath,1 reception
Clancys Solicitors,"£150,000","54 North Bughtlinside, Edinburgh EH12",1 bed,1 bath,1 reception
VMH Solicitors,"£199,950","Ravenscroft Gardens, Edinburgh EH17",3 beds,1 bath,1 reception
Countrywide Scotland - Shawlands Sales,"£160,000","Parklands View, Glasgow G53",2 beds,2 baths,1 reception
Cullertons,"£215,000","20 (2F2) Dean Park Street, Stockbridge EH4",1 bed,,
Corrigall Black,"£250,000","Fearnoch Mill, Kilfinan, Tighnabruaich PA21",3 beds,2 baths,2 receptions
Murray Beith Murray,"£160,000","Jubilee Cottage, 2 Kingston Avenue, Liberton, Edinburgh EH16",1 bed,1 bath,1 reception
"Purplebricks, Head Office","£124,995","Woodend Walk, Armadale EH48",3 beds,1 bath,
Avenue Road Estate Agents,"£210,000","7 Southhouse Crescent, Edinburgh EH17",3 beds,2 baths,2 receptions
Yopa,"£180,000","Cross Street, Broughty Ferry, Dundee DD5",2 beds,1 bath,1 reception
Blair Cadell,"£250,000","3/2 Buccleuch Street, Edinburgh EH8",2 beds,1 bath,1 reception
Warners,"£360,000","5 Lidgate Shot, Ratho, Newbridge EH28",3 beds,2 baths,1 reception
Warners,"£480,000","41 Kilburn Wood Drive, Roslin EH25",4 beds,3 baths,2 receptions
Warners,"£130,000","12 Mckinlay Terrace, Loanhead EH20",2 beds,1 bath,1 reception
Warners,"£295,000","82/7 Inchview Terrace, Edinburgh EH7",3 beds,2 baths,1 reception
Clancys Solicitors,"£200,000","80 The Paddockholm, Edinburgh EH12",2 beds,1 bath,1 reception
DM Property,"£210,000","44/1 Temple Park Crescent, Polwarth, Edinburgh EH11",1 bed,1 bath,1 reception
Lindsays,"£840,000","Lygon Road, Newington, Edinburgh EH16",4 beds,2 baths,3 receptions
Lindsays,"£375,000","114/8, Crewe Road North, Crewe, Edinburgh EH5",3 beds,2 baths,1 reception
Lindsays,"£115,000","The Bield, High Street, Errol, Perth PH2",2 beds,1 bath,1 reception
Slater Hogg & Howison - Candleriggs Sales,"£219,500","Upper Bell Street, Bell Street, Merchant City, Glasgow G4",2 beds,2 baths,1 reception
agent,price,address,beds,baths,receptions
Countrywide Scotland - Shawlands Sales,"£160,000","Parklands View, Glasgow G53",2 beds,2 baths,1 reception
Warners,"£215,000","28 Gogarloch Haugh, South Gyle, Edinburgh EH12",2 beds,1 bath,1 reception
Stuart and Stuart WS,"£200,000","Royal Court, Penicuik EH26",3 beds,1 bath,2 receptions
Clancys Solicitors,"£150,000","54 North Bughtlinside, Edinburgh EH12",1 bed,1 bath,1 reception
Stuart and Stuart WS,"£225,000","Harrison Road, Edinburgh EH11",1 bed,1 bath,1 reception
VMH Solicitors,"£199,950","Ravenscroft Gardens, Edinburgh EH17",3 beds,1 bath,1 reception
Neilsons Solicitors & Estate Agents,"£290,000","St Hildas, 81/2 Kirk Brae, Edinburgh EH16",2 beds,1 bath,1 reception
DM Property,"£140,000","Drum View Avenue, Danderhall, Dalkeith EH22",3 beds,1 bath,1 reception
"Purplebricks, Head Office","£124,995","Woodend Walk, Armadale EH48",3 beds,1 bath,
Yopa,"£180,000","Cross Street, Broughty Ferry, Dundee DD5",2 beds,1 bath,1 reception
Cullertons,"£215,000","20 (2F2) Dean Park Street, Stockbridge EH4",1 bed,,
Avenue Road Estate Agents,"£210,000","7 Southhouse Crescent, Edinburgh EH17",3 beds,2 baths,2 receptions
Murray Beith Murray,"£160,000","Jubilee Cottage, 2 Kingston Avenue, Liberton, Edinburgh EH16",1 bed,1 bath,1 reception
Corrigall Black,"£250,000","Fearnoch Mill, Kilfinan, Tighnabruaich PA21",3 beds,2 baths,2 receptions
Blair Cadell,"£250,000","3/2 Buccleuch Street, Edinburgh EH8",2 beds,1 bath,1 reception
Warners,"£360,000","5 Lidgate Shot, Ratho, Newbridge EH28",3 beds,2 baths,1 reception
Warners,"£480,000","41 Kilburn Wood Drive, Roslin EH25",4 beds,3 baths,2 receptions
Warners,"£295,000","82/7 Inchview Terrace, Edinburgh EH7",3 beds,2 baths,1 reception
Lindsays,"£840,000","Lygon Road, Newington, Edinburgh EH16",4 beds,2 baths,3 receptions
Lindsays,"£375,000","114/8, Crewe Road North, Crewe, Edinburgh EH5",3 beds,2 baths,1 reception
Clancys Solicitors,"£200,000","80 The Paddockholm, Edinburgh EH12",2 beds,1 bath,1 reception
Warners,"£130,000","12 Mckinlay Terrace, Loanhead EH20",2 beds,1 bath,1 reception
DM Property,"£210,000","44/1 Temple Park Crescent, Polwarth, Edinburgh EH11",1 bed,1 bath,1 reception
Lindsays,"£115,000","The Bield, High Street, Errol, Perth PH2",2 beds,1 bath,1 reception
"Springbok Properties, Nationwide","£55,000","Rockburn Cresent, Bellshill, Lanarkshire ML4",2 beds,1 bath,1 reception
Knight Frank - Edinburgh Sales,"£270,000","Longniddry, East Lothian EH32",3 beds,1 bath,1 reception
